timestamp,vm_id,cpu_usage,memory_usage,disk_io,network_io,request_rate,response_time
2022-01-01 00:00:00,vm_4,4.27,14.14,333.68,282.81,52,242.18
2022-01-01 00:01:00,vm_1,68,3.11,68.16,116.29,1826,587.62
2022-01-01 00:02:00,vm_4,89.75,10.06,112.18,627.42,271,693.69
2022-01-01 00:03:00,vm_8,45,15.57,34.35,117.57,1300,558.07
2022-01-01 00:04:00,vm_5,63.39,3.01,433.41,384.73,1036,35.31
2022-01-01 00:05:00,vm_3,23.31,19.16,233.74,720.18,1073,439.22
2022-01-01 00:06:00,vm_4,91.48,2.33,441.14,131.72,1087,444.47
2022-01-01 00:07:00,vm_7,30.75,30.03,364.54,70.35,1545,462.53
2022-01-01 00:08:00,vm_3,77.31,14.31,488.24,455.66,478,10.26
2022-01-01 00:09:00,vm_9,26.23,15.71,28.28,231.26,1477,673.62
2022-01-01 00:10:00,vm_8,37.05,15.95,475.52,534.17,412,227.66
2022-01-01 00:11:00,vm_10,78.46,14.17,420.62,886.81,1287,102.52
2022-01-01 00:12:00,vm_5,39.88,17.22,163.24,574.89,1602,507.12
2022-01-01 00:13:00,vm_10,84.83,15.79,377.79,310.02,1894,488.97
2022-01-01 00:14:00,vm_3,77,21.67,101.22,694.21,723,448.45
2022-01-01 00:15:00,vm_2,0.99,10.21,283.2,404.5,85,421.7
2022-01-01 00:16:00,vm_6,85.11,0.17,436.87,550.89,277,212.66
2022-01-01 00:17:00,vm_2,53.05,8.7,474.75,16.93,1289,6.29
2022-01-01 00:18:00,vm_5,13.63,4.42,442.12,979.53,1978,306.62
2022-01-01 00:19:00,vm_10,98.18,12.72,18.34,847.31,652,185.5
2022-01-01 00:20:00,vm_3,45.91,14.97,67.83,976.65,963,668.28
2022-01-01 00:21:00,vm_5,9.7,11.28,0.25,921.27,1706,517.38
2022-01-01 00:22:00,vm_8,0.84,18.76,273.58,547.32,560,503.27
2022-01-01 00:23:00,vm_6,15.37,29.94,209.87,764.34,1457,909.44
2022-01-01 00:24:00,vm_7,56.39,28.87,249.21,769.42,1184,30.18
2022-01-01 00:25:00,vm_3,81.13,24.86,147.97,801.14,1300,336.26
2022-01-01 00:26:00,vm_4,35.66,26.61,10.07,389.7,305,202.8
2022-01-01 00:27:00,vm_5,27.31,24.64,205.16,457.65,1239,861.65
2022-01-01 00:28:00,vm_7,86.53,19.34,74.5,63.02,1051,474.41
2022-01-01 00:29:00,vm_8,20.22,20.42,464.19,428.46,1736,272.22
2022-01-01 00:30:00,vm_5,8.84,27.43,494.57,958.88,1761,114.54
2022-01-01 00:31:00,vm_5,37.26,23.65,219.51,469.41,622,312.05
2022-01-01 00:32:00,vm_8,5.88,1.47,339.33,156.52,1265,581.29
2022-01-01 00:33:00,vm_2,19.08,28.95,437.6,524.64,1465,860.26
2022-01-01 00:34:00,vm_1,91.18,22.09,133.77,780.16,771,100.26
2022-01-01 00:35:00,vm_1,56,12.13,371.82,52.63,838,17.2
2022-01-01 00:36:00,vm_10,61.52,21.78,187.48,343.26,1793,42.87
2022-01-01 00:37:00,vm_6,56.58,5.28,52.28,169.89,1864,590.01
2022-01-01 00:38:00,vm_6,44.94,9.15,256.87,474.58,1259,330.41
2022-01-01 00:39:00,vm_5,9.96,15.16,289.41,808.91,1400,759.2
2022-01-01 00:40:00,vm_9,53.68,6.53,415.54,72.43,449,855.35
2022-01-01 00:41:00,vm_3,1.86,9.47,324.88,417.04,1455,877.19
2022-01-01 00:42:00,vm_5,49.51,5.98,442.6,835.25,285,165.82
2022-01-01 00:43:00,vm_1,46.81,12.91,249.44,261.06,1855,221.89
